year,name,rating,category,engine,detail_url
2023,BMW K 1600 B Midnight,-,Touring,1649 ccm,https://bikez.com/motorcycles/bmw_k_1600_b_midnight_2023.php
2023,BMW K 1600 Grand America,-,Touring,1649 ccm,https://bikez.com/motorcycles/bmw_k_1600_grand_america_2023.php
2023,BMW K 1600 Grand America Midnight,-,Touring,1649 ccm,https://bikez.com/motorcycles/bmw_k_1600_grand_america_midnight_2023.php
2023,BMW K 1600 GT,-,Touring,1649 ccm,https://bikez.com/motorcycles/bmw_k_1600_gt_2023.php
2023,BMW K 1600 GTL,-,Touring,1649 ccm,https://bikez.com/motorcycles/bmw_k_1600_gtl_2023.php
2023,BMW M 1000 R,-,Sport,999 ccm,https://bikez.com/motorcycles/bmw_m_1000_r_2023.php
2023,BMW M 1000 RR,-,Sport,999 ccm,https://bikez.com/motorcycles/bmw_m_1000_rr_2023.php
2023,BMW R 1250 GS,Show rating,Enduro/offroad,1254 ccm,https://bikez.com/motorcycles/bmw_r_1250_gs_2023.php
2023,BMW R 1250 GS Adventure,Show rating,Enduro/offroad,1254 ccm,https://bikez.com/motorcycles/bmw_r_1250_gs_adventure_2023.php
2023,BMW R 1250 R,Show rating,Naked bike,1254 ccm,https://bikez.com/motorcycles/bmw_r_1250_r_2023.php
2023,BMW R 1250 R Roadster,-,Naked bike,1254 ccm,https://bikez.com/motorcycles/bmw_r_1250_r_roadster_2023.php
2023,BMW R 1250 RS,Show rating,Enduro/offroad,1254 ccm,https://bikez.com/motorcycles/bmw_r_1250_rs_2023.php
2023,BMW R 1250 RT,-,Enduro/offroad,1254 ccm,https://bikez.com/motorcycles/bmw_r_1250_rt_2023.php
2023,BMW R 18,-,Custom/cruiser,1802 ccm,https://bikez.com/motorcycles/bmw_r_18_2023.php
2023,BMW R 18 100 Years,-,Custom/cruiser,1802 ccm,https://bikez.com/motorcycles/bmw_r_18_100_years_2023.php
2023,BMW R 18 B,-,Custom/cruiser,1802 ccm,https://bikez.com/motorcycles/bmw_r_18_b_2023.php
2023,BMW R 18 Classic,-,Custom/cruiser,1802 ccm,https://bikez.com/motorcycles/bmw_r_18_classic_2023.php
2023,BMW R 18 Transcontinental,-,Touring,1802 ccm,https://bikez.com/motorcycles/bmw_r_18_transcontinental_2023.php
2023,BMW R nine T,-,Sport,1170 ccm,https://bikez.com/motorcycles/bmw_r_nine_t_2023.php
2023,BMW R nineT  100 Years,-,Sport,1170 ccm,https://bikez.com/motorcycles/bmw_r_ninet_100_years_2023.php
2023,BMW R nineT Pure,-,Sport,1170 ccm,https://bikez.com/motorcycles/bmw_r_ninet_pure_2023.php
2023,BMW R nineT Scrambler,-,Naked bike,1170 ccm,https://bikez.com/motorcycles/bmw_r_ninet_scrambler_2023.php
2023,BMW R nineT Urban GS,-,Naked bike,1170 ccm,https://bikez.com/motorcycles/bmw_r_ninet_urban_gs_2023.php
2023,BMW R18 100 Years,-,Custom/cruiser,1802 ccm,https://bikez.com/motorcycles/bmw_r18_100_years_2023.php
2023,BMW S 1000 R,-,Naked bike,999 ccm,https://bikez.com/motorcycles/bmw_s_1000_r_2023.php
2023,BMW S 1000 RR,-,Sport,999 ccm,https://bikez.com/motorcycles/bmw_s_1000_rr_2023.php
2023,BMW S 1000 XR,-,Sport,999 ccm,https://bikez.com/motorcycles/bmw_s_1000_xr_2023.php
2023,Boss Hoss Classic Bagger,-,Custom/cruiser,6300 ccm,https://bikez.com/motorcycles/boss_hoss_classic_bagger_2023.php
2023,Boss Hoss Classic Cruiser,-,Custom/cruiser,6200 ccm,https://bikez.com/motorcycles/boss_hoss_classic_cruiser_2023.php
2023,Boss Hoss Dragon,-,Custom/cruiser,6300 ccm,https://bikez.com/motorcycles/boss_hoss_dragon_2023.php
2023,Boss Hoss Limited Super Sport,-,Custom/cruiser,8128 ccm,https://bikez.com/motorcycles/boss_hoss_limited_super_sport_2023.php
2023,Boss Hoss Super Sport,-,Custom/cruiser,6200 ccm,https://bikez.com/motorcycles/boss_hoss_super_sport_2023.php
2023,Bourget Low-Blow,-,Custom/cruiser,1852 ccm,https://bikez.com/motorcycles/bourget_low-blow_2023.php
